Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Expected_xG,Expected_xAG
Florentino Luís,pt POR,Benfica,MF,26,3,0,38,0,0,0,0,0,0.0,0.0
Dodi Lukebakio,be BEL,Benfica,FW,28,6,5,418,0,3,0,1,0,1.2,2.7
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Luquinhas,br BRA,Santa Clara,"FW,MF",29,5,2,161,0,0,0,1,0,0.3,0.0
Miguel Maga,pt POR,Vitória,DF,22,11,11,891,0,0,0,2,0,0.0,0.5
Gonçalo Maia,pt POR,Gil Vicente FC,"FW,MF",19,2,0,5,0,0,0,1,0,0.0,0.0
Otar Mamageishvili,ge GEO,Famalicão,MF,22,6,1,105,0,0,0,0,0,0.5,0.1
Ricardo Mangas,pt POR,Sporting CP,DF,27,6,5,401,2,0,0,2,0,0.8,1.2
Elias Manoel,br BRA,Santa Clara,"FW,MF",23,5,0,111,0,0,0,1,0,0.4,0.0
Brian Mansilla,uy URU,Arouca,FW,23,9,0,140,0,0,0,1,0,0.2,0.2
Tiago Manso,pt POR,Tondela,"DF,FW",25,11,8,661,1,0,1,2,0,1.8,0.5
Nico Mantl,de GER,Arouca,GK,25,2,2,180,0,0,0,0,0,0.0,0.0
Maracás,br BRA,Moreirense,DF,31,10,10,884,1,0,0,4,0,0.2,0.1
Maranhão,br BRA,Tondela,FW,26,11,9,798,2,0,1,4,0,3.4,0.8
Abraham Marcus,ng NGA,Estrela,"FW,MF",25,10,9,795,0,2,0,0,0,0.7,1.6
Alejandro Marqués,ve VEN,Estoril,FW,25,7,2,212,0,0,0,1,0,0.2,0.1
Christian Marques,ch SUI,Tondela,DF,22,9,9,810,0,0,0,1,0,0.2,0.9
Álvaro Martínez,es ESP,Moreirense,DF,23,5,1,143,0,0,0,1,0,0.0,0.0
Gabri Martínez,es ESP,Braga,"DF,MF",22,10,2,342,0,1,0,2,0,0.5,1.0
Julián Martínez,hn HON,Alverca,DF,21,3,2,206,0,0,0,0,0,0.1,0.0
Bernardo Martins,pt POR,Moreirense,"MF,FW",27,8,3,374,1,1,0,1,0,0.3,0.4
Diogo Martins,pt POR,Alverca,FW,29,1,0,8,0,0,0,0,0,0.1,0.0
Nor Maviram,ng NGA,Tondela,DF,24,9,7,640,0,0,0,1,0,0.2,0.6
Brayan Medina,co COL,Tondela,DF,23,9,9,809,0,0,0,6,1,1.6,0.3
Tobías Medina,ar ARG,Rio Ave,FW,21,1,0,12,0,0,0,0,0,0.0,0.0
Jorge Meireles,pt POR,Estrela,"MF,FW",21,9,5,423,0,1,0,0,0,0.2,0.4
João Mendes,pt POR,Vitória,"DF,MF",25,10,10,809,0,0,0,3,0,0.3,0.3
Matheus Mendes,br BRA,Alverca,GK,26,1,1,90,0,0,0,0,0,0.0,0.0
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Tomás Mendes,es ESP,Alverca,MF,20,5,3,311,0,1,0,1,0,0.0,0.6
Gustavo Mendonça,pt POR,AVS Futebol,"MF,DF",22,3,0,74,0,0,0,0,0,0.0,0.1
Bastien Meupiyou,fr FRA,Alverca,DF,19,9,9,810,0,0,0,2,0,0.4,0.0
Marko Milovanović,rs SRB,Alverca,FW,22,11,11,770,3,0,2,2,0,3.6,0.1
Miro,ao ANG,Tondela,FW,22,4,4,279,0,0,0,1,0,1.1,0.4
Cezary Miszta,pl POL,Rio Ave,GK,24,10,10,900,0,0,0,4,0,0.0,0.0
Matija Mitrovic,rs SRB,Vitória,MF,20,8,3,415,1,0,0,0,0,0.3,0.2
Iyad Mohamed,km COM,Casa Pia,MF,24,8,4,382,1,0,0,3,0,0.1,0.0
João Moisés,ao ANG,Estrela,"FW,MF",19,6,4,256,0,1,0,2,0,0.2,0.9
Guillem Molina,es ESP,AVS Futebol,DF,25,3,3,254,0,0,0,0,0,0.0,0.1
Rodrigo Mora,pt POR,Porto,"MF,FW",18,9,4,338,1,0,0,0,0,0.8,0.5
Agustín Moreira,uy URU,Gil Vicente FC,"FW,MF",24,6,3,268,0,1,0,1,0,0.4,0.8
Paulo Moreira,pt POR,Estrela,MF,25,10,10,816,2,0,0,2,1,0.3,0.2
Hidemasa Morita,jp JPN,Sporting CP,MF,30,8,5,378,0,0,0,0,0,0.2,0.1
Gabriel Moscardo,br BRA,Braga,MF,20,6,1,201,0,0,0,0,0,0.1,0.0
Moura,pt POR,Porto,DF,26,9,8,623,1,1,0,2,0,0.4,0.5
João Moutinho,pt POR,Braga,MF,39,9,7,586,0,0,0,1,0,0.9,0.8
MT,br BRA,Santa Clara,DF,24,8,6,630,1,0,0,2,0,0.5,0.2
Jonathan Mutombo,fr FRA,Gil Vicente FC,"DF,MF",23,1,0,31,0,0,0,0,0,0.0,0.0
Dylan Nandín,uy URU,Arouca,FW,23,7,5,405,0,0,0,1,1,0.4,0.3
Fran Navarro,es ESP,Braga,FW,27,8,5,364,2,0,0,1,0,1.1,0.0
Kaiky Naves,br BRA,Alverca,DF,23,10,10,854,0,0,0,4,1,0.9,0.3
Alioune Ndoye,sn SEN,Vitória,FW,24,9,1,275,2,0,0,0,0,0.8,0.1
Christian Neiva Afonso,pt POR,AVS Futebol,DF,30,10,8,634,0,0,0,1,0,0.2,0.6
Guilherme Neiva Silva,br BRA,AVS Futebol,"FW,MF",24,6,0,173,0,0,0,1,0,0.3,0.0
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Nenê,br BRA,AVS Futebol,"FW,MF",42,8,0,130,2,0,0,1,0,1.8,0.2
Andre Neves,pt POR,Estoril,"FW,MF",21,2,0,50,0,0,0,0,0,0.1,0.0
Oumar Ngom,mr MTN,Estrela,MF,21,5,3,310,0,1,0,3,1,1.0,0.4
Renato Nhaga,gw GNB,Casa Pia,MF,18,10,7,619,1,0,0,3,0,0.4,0.1
Sikou Niakaté,ml MLI,Braga,DF,26,5,5,432,0,0,0,1,0,1.0,0.5
Tamás Nikitscher,hu HUN,Rio Ave,"MF,DF",26,7,0,105,0,1,0,1,0,0.0,0.1
Miguel Nóbrega,pt POR,Vitória,DF,25,5,3,296,1,0,0,0,0,0.4,0.0
Gonçalo Nogueira,pt POR,Vitória,MF,21,3,2,121,0,0,0,1,0,0.0,0.1
João Nogueira,pt POR,Vitória,MF,20,6,5,347,0,0,0,0,0,0.8,0.1
Mootez Nourani,tn TUN,Nacional,"FW,MF",23,3,0,30,0,0,0,0,0,0.1,0.0
João Novais,pt POR,Rio Ave,MF,32,2,0,46,0,0,0,1,0,0.1,0.0
Andreas Ntoi,gr GRE,Rio Ave,"MF,DF",22,10,9,824,0,1,0,3,0,0.1,0.1
Alan Núñez,py PAR,Nacional,DF,21,2,1,103,0,0,0,0,0,0.0,0.2
Cedric Nuozzi,be BEL,Alverca,"FW,MF",19,10,6,537,1,0,0,0,0,0.9,0.8
Rafel Obrador,es ESP,Benfica,DF,21,1,1,67,0,0,0,0,0,0.0,0.2
Lawrence Ofori,gh GHA,Moreirense,MF,27,4,3,207,0,1,0,0,0,0.1,0.3
Nélson Oliveira,pt POR,Vitória,FW,34,11,8,636,2,0,0,3,0,1.9,0.1
Paulo Oliveira,pt POR,Braga,DF,33,5,5,366,0,0,0,1,0,0.0,0.0
Samu Omorodion,es ESP,Porto,FW,21,10,9,624,6,1,2,2,0,4.9,0.1
Jandro Orellana,es ESP,Estoril,MF,25,2,2,111,0,0,0,0,0,0.0,0.0
Korede Osundina,us USA,Casa Pia,"FW,MF",21,6,3,249,1,0,0,0,0,0.4,0.1
Nicolás Otamendi,ar ARG,Benfica,DF,37,10,10,900,1,0,0,5,0,0.5,0.1
Otávio,br BRA,Estrela,DF,19,2,2,110,0,0,0,1,0,0.0,0.0
Sie Ouattara,ci CIV,Tondela,FW,23,5,1,124,0,0,0,0,0,0.1,0.2
Amine El Ouazzani,ma MAR,Braga,FW,24,7,5,474,2,0,1,0,0,2.0,0.4
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Yassin Oukili,nl NED,Casa Pia,MF,24,3,2,143,0,0,0,0,0,0.0,0.0
Pablo,br BRA,Nacional,"FW,MF",22,7,6,429,0,0,0,2,1,0.6,0.7
Pablo,br BRA,Gil Vicente FC,FW,21,11,11,838,8,1,2,4,0,5.1,0.8
Jonathan Panzo,eng ENG,Rio Ave,DF,25,9,9,716,0,0,0,2,1,0.1,0.0
Antonios Papakanellos,gr GRE,Rio Ave,FW,20,4,0,71,0,0,0,0,0,0.0,0.0
Tiago Parente,pt POR,Estoril,"MF,DF",21,9,4,405,1,0,0,1,0,0.7,0.0
Fode Pascoal,gw GNB,Braga,DF,20,1,0,11,0,0,0,0,0,0.0,0.0
Luan Patrick,br BRA,Estrela,DF,23,11,11,953,0,0,0,2,0,0.0,0.0
Patrick de Paula,br BRA,Estoril,MF,26,8,2,346,0,0,0,4,0,0.2,0.2
Vangelis Pavlidis,gr GRE,Benfica,FW,26,11,10,907,9,3,6,1,0,9.2,1.3
Zé Pedro Figueiredo,pt POR,Porto,DF,28,2,0,30,0,0,0,0,0,0.0,0.0
Jordan Pefok,us USA,Tondela,FW,29,7,5,391,0,0,0,1,0,1.0,0.1
Marcos Peña,es ESP,Famalicão,MF,20,4,2,140,0,0,0,2,0,0.0,0.0
Pepê,br BRA,Porto,FW,28,9,9,687,2,2,0,1,0,2.0,2.0
Óscar Perea,co COL,AVS Futebol,"FW,MF",20,5,4,316,1,0,0,0,0,0.9,0.0
Matheus Pereira,br BRA,Santa Clara,"MF,FW",24,10,8,720,0,1,0,2,0,0.8,0.8
Sebastián Pérez Cardona,co COL,Casa Pia,MF,32,10,7,617,0,0,0,2,0,0.1,0.1
Nehuén Pérez,ar ARG,Porto,DF,25,5,4,364,1,0,0,0,0,0.4,0.0
Francisco Petrasso,ar ARG,Rio Ave,DF,23,9,7,589,0,0,0,1,0,0.1,0.0
Rodrigo Pinheiro,pt POR,Famalicão,DF,23,11,11,990,1,1,0,2,0,0.3,0.9
Rodrigo Pinho,br BRA,Estrela,"FW,MF",34,9,2,241,0,1,0,1,0,0.3,0.8
Alexandre Pinto,pt POR,Arouca,DF,27,5,3,264,0,0,0,1,0,0.0,0.1
Dinis Pinto,pt POR,Moreirense,DF,25,11,11,984,0,5,0,3,0,0.2,2.1
Pizzi,pt POR,Estoril,"MF,FW",36,6,1,160,0,0,0,0,0,0.0,0.2
Ole Pohlmann,de GER,Rio Ave,"FW,MF",24,9,6,511,0,0,0,1,0,0.2,0.3
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Carlos Ponck,cv CPV,AVS Futebol,DF,30,1,0,11,0,0,0,0,0,0.0,0.0
Boris Popović,rs SRB,Arouca,DF,25,7,7,630,1,0,0,1,0,0.7,0.0
Gianluca Prestianni,ar ARG,Benfica,"FW,MF",19,8,2,272,1,1,0,2,0,0.8,0.5
Kevin Prieto,uy URU,Casa Pia,MF,22,3,0,44,0,0,0,0,0,0.0,0.0
Dominik Prpić,hr CRO,Porto,DF,21,5,0,94,0,0,0,0,0,0.0,0.0
Miguel Puche García,es ESP,Arouca,"FW,DF",24,10,2,305,0,1,0,2,0,0.3,0.1
Eduardo Quaresma,pt POR,Sporting CP,MF,23,1,0,1,0,0,0,0,0,0.0,0.0
Geovany Quenda,pt POR,Sporting CP,FW,18,11,4,548,1,4,0,0,0,1.4,2.4
Jesús Ramírez,ve VEN,Nacional,FW,27,11,11,948,6,0,3,3,0,5.1,0.2
Leonardo Realpe,ec ECU,Famalicão,DF,24,10,10,865,1,0,0,4,1,0.6,0.0
João Rêgo,pt POR,Benfica,"FW,MF",20,6,0,51,1,0,0,0,0,0.5,0.0
Francisco Reis Ferreira,pt POR,Estoril,DF,28,8,5,529,0,0,0,1,0,0.2,0.1
Matheus Reis,br BRA,Sporting CP,DF,30,2,0,7,0,1,0,0,0,0.0,0.2
João Resende,pt POR,Estrela,DF,22,2,0,10,0,0,0,0,0,0.0,0.0
Renan Ribeiro,br BRA,Estrela,GK,35,11,11,990,0,0,0,1,0,0.0,0.0
Omar Richards,eng ENG,Rio Ave,"MF,DF",27,3,2,169,0,0,0,0,0,0.0,0.1
Richard Ríos,co COL,Benfica,MF,25,11,11,917,0,0,0,5,0,2.5,0.7
Daniel Rivas,py PAR,AVS Futebol,DF,23,8,3,331,0,1,0,1,0,0.0,0.9
Óscar Rivas,es ESP,Vitória,DF,25,8,8,720,0,0,0,1,0,0.3,0.1
Robinho,br BRA,Estrela,"MF,FW",23,8,4,340,0,0,0,3,0,0.0,0.4
Joel Robles,es ESP,Estoril,GK,35,11,11,990,0,0,0,0,0,0.0,0.0
Kaique Rocha,br BRA,Casa Pia,DF,24,5,5,413,1,0,0,0,0,0.3,0.0
Matí­as Rocha,uy URU,Arouca,DF,24,3,3,270,0,0,0,1,0,0.1,0.4
Rochinha,pt POR,Famalicão,MF,30,1,0,4,0,0,0,0,0,0.0,0.2
Rodri,es ESP,Moreirense,MF,22,5,0,79,0,0,0,1,0,0.1,0.2
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Afonso Rodrigues,pt POR,Tondela,"FW,MF",23,2,0,52,0,0,0,0,0,0.1,0.0
Diego Rodrigues,pt POR,Braga,"MF,FW",20,6,3,320,1,0,0,0,0,0.1,0.3
Luís Carlos Rocha Rodrigues,pt POR,Santa Clara,DF,39,5,5,450,0,0,0,2,0,0.1,0.0
Rodrigo Rodrigues,pt POR,Gil Vicente FC,"FW,MF",17,2,0,27,0,0,0,1,0,0.0,0.0
Juan Rodríguez,ec ECU,Tondela,MF,19,11,7,660,0,0,0,2,0,0.0,0.5
Yefrei Rodríguez,co COL,Tondela,FW,20,11,1,351,0,0,0,1,0,0.8,0.2
Pablo Rosario,do DOM,Porto,"DF,MF",28,7,2,338,1,0,0,4,0,0.2,0.1
Gustavo sá,pt POR,Famalicão,MF,21,11,11,949,2,0,0,2,0,1.6,1.1
Borja Sainz,es ESP,Porto,FW,24,11,9,733,3,2,0,4,0,2.6,0.9
Kelian Nsona Wa Saka,fr FRA,Casa Pia,"FW,MF",23,4,3,271,0,1,0,0,0,0.0,0.3
Samu,pt POR,Vitória,MF,29,6,4,373,1,1,0,0,0,1.3,0.5
Ricard Sánchez,es ESP,Estoril,"DF,MF",25,5,4,288,1,1,0,2,0,0.7,0.4
Aderlan Santos,br BRA,AVS Futebol,DF,36,5,5,369,0,0,0,1,0,0.2,0.0
Alisson Santos,br BRA,Sporting CP,"FW,MF",23,9,0,84,0,1,0,0,0,0.4,0.9
Hevertton Santos,br BRA,Gil Vicente FC,DF,24,8,2,216,0,1,0,2,1,0.0,0.1
Léo Santos,br BRA,Nacional,DF,26,11,10,942,2,0,0,4,0,0.6,0.1
Nuno Santos,pt POR,Vitória,"FW,MF",26,5,3,222,0,1,0,0,0,0.2,0.4
Pedro Santos,pt POR,Arouca,MF,25,5,4,320,0,0,0,0,0,0.0,0.1
Pedro Santos,pt POR,Famalicão,"FW,MF",22,6,1,162,0,0,0,1,0,0.2,0.0
Zaidu Sanusi,ng NGA,Porto,DF,28,7,2,306,1,1,0,0,0,1.1,0.5
Noah Saviolo,be BEL,Vitória,"FW,MF",21,7,3,245,0,1,0,1,0,0.2,0.1
Bernardo Schappo,br BRA,Estrela,DF,26,9,8,731,0,0,0,3,0,0.3,0.1
Guilherme Schettine,br BRA,Moreirense,FW,30,10,9,667,7,0,0,1,0,3.5,0.1
Andreas Schjelderup,no NOR,Benfica,"FW,MF",21,9,5,456,1,1,0,0,0,1.0,0.9
Caio Secco,br BRA,Moreirense,GK,34,7,7,630,0,0,0,1,0,0.0,0.3
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Luis Semedo,pt POR,Moreirense,FW,22,2,0,49,0,0,0,0,0,0.5,0.0
Rúben Semedo,pt POR,AVS Futebol,DF,31,2,2,169,0,0,0,0,0,0.0,0.0
Hugo Sequeira,pt POR,Tondela,"MF,FW",21,6,1,214,0,0,0,0,0,0.5,0.4
Patrick Sequeira,cr CRC,Casa Pia,GK,26,9,9,772,0,0,0,2,0,0.0,0.0
Serginho,pt POR,Santa Clara,MF,25,11,10,808,2,0,2,2,0,2.1,0.6
Guilherme Serrão,pt POR,Estrela,"DF,MF",22,7,3,356,0,0,0,1,0,0.1,0.2
Xander Severina,cw CUW,Casa Pia,"DF,FW",24,2,0,39,0,0,0,0,0,0.0,0.0
Sidney,br BRA,Santa Clara,DF,28,11,11,965,0,0,0,4,1,0.4,0.5
António Silva,pt POR,Benfica,DF,22,8,7,642,0,0,0,2,0,0.0,0.1
Gustavo da Silva,br BRA,Vitória,FW,26,6,6,495,1,1,0,1,0,1.2,0.3
Joel silva,pt POR,Nacional,MF,22,5,0,76,0,0,0,0,0,0.0,0.0
Eric da Silva Moreira,de GER,Rio Ave,"DF,MF",19,3,0,73,0,0,0,0,0,0.0,0.0
Rui Silva,pt POR,Sporting CP,GK,31,9,9,810,0,0,0,1,0,0.0,0.0
Tiago Silva,pt POR,Vitória,MF,32,4,3,287,1,0,1,3,0,1.1,0.2
David Simão,pt POR,Arouca,MF,35,10,7,607,0,0,0,3,0,0.1,0.4
João Simões,pt POR,Sporting CP,MF,18,5,3,196,0,0,0,1,0,0.5,0.1
Sphephelo Sithole,za RSA,Tondela,MF,26,9,7,659,1,0,0,2,0,0.2,0.3
Filipe Soares,pt POR,Nacional,MF,26,10,2,318,0,0,0,2,0,0.1,0.3
Lucas Soares,br BRA,Santa Clara,"DF,MF",27,9,9,718,0,0,0,2,0,0.2,0.2
Rafa Soares,pt POR,Famalicão,DF,30,7,5,399,0,1,0,2,0,0.1,0.2
Samuel Soares,pt POR,Benfica,GK,23,2,2,180,0,0,0,1,0,0.0,0.0
Alexandre Sola,ad AND,Estrela,MF,21,3,0,10,0,0,0,1,0,0.0,0.0
Arnau Solà,es ESP,Arouca,DF,22,8,6,498,0,1,0,1,0,0.1,0.7
André Sousa,pt POR,Nacional,"FW,MF",35,3,0,23,0,0,0,0,0,0.0,0.0
David Sousa,br BRA,Casa Pia,DF,24,7,7,630,1,0,0,5,0,0.4,0.1
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Miguel Sousa,pt POR,Casa Pia,"FW,MF",27,8,2,214,0,1,0,2,0,0.0,0.6
Vasco Sousa,pt POR,Moreirense,MF,22,6,4,312,1,0,0,0,1,1.0,0.2
Diogo Spencer,pt POR,AVS Futebol,"DF,FW",21,8,8,675,1,1,0,2,0,0.2,0.4
Dario Špikić,hr CRO,Rio Ave,FW,26,10,7,513,2,0,0,1,0,1.6,0.3
Mateja Stjepanović,rs SRB,Moreirense,MF,21,11,11,966,0,0,0,2,0,0.2,0.1
Ianis Stoica,ro ROU,Estrela,FW,22,10,4,387,2,0,0,1,0,2.0,0.4
Tony Strata,ro ROU,Vitória,DF,21,1,0,16,0,0,0,0,0,0.0,0.0
Heorhiy Sudakov,ua UKR,Benfica,MF,23,8,7,545,3,0,0,2,0,1.2,0.5
Max Svensson,es ESP,Casa Pia,FW,24,6,1,179,0,0,0,1,0,1.0,0.2
Hélder Tavares,cv CPV,Tondela,MF,35,6,4,251,0,0,0,1,1,0.0,0.0
José Tavares,,Santa Clara,"MF,FW",22,5,0,70,0,0,0,0,0,0.0,0.0
Duplexe Tchamba,cm CMR,Casa Pia,DF,27,4,4,360,1,0,0,1,0,0.4,0.0
Cédric Teguia,es ESP,Moreirense,FW,24,10,7,552,0,0,0,1,0,0.3,0.2
Tomané,pt POR,AVS Futebol,FW,33,7,7,578,0,0,0,1,0,0.6,0.1
João Tomé,pt POR,Rio Ave,"DF,FW",22,2,0,42,0,0,0,0,0,0.1,0.1
Nabil Touaizi,ma MAR,Alverca,"MF,DF",24,11,9,840,0,0,0,1,0,0.1,2.0
Diogo Travassos,pt POR,Moreirense,"FW,MF",21,7,5,481,1,0,0,1,0,0.7,0.4
Alfonso Trezza,uy URU,Arouca,FW,26,11,10,774,4,1,0,1,0,1.3,0.8
Francisco Trincão,pt POR,Sporting CP,MF,25,11,11,960,3,2,0,0,0,1.8,3.3
Anatolii Trubin,ua UKR,Benfica,GK,24,9,9,810,0,0,0,0,0,0.0,0.0
Antef Tsoungui,be BEL,Estoril,"DF,MF",22,3,3,238,0,0,0,1,0,0.1,0.3
Ulisses,br BRA,Nacional,DF,26,5,3,224,0,0,0,4,1,0.0,0.0
Georgios Vagiannidis,gr GRE,Sporting CP,DF,24,8,4,517,0,1,0,2,0,0.7,0.9
João Valido,pt POR,Arouca,GK,25,9,9,810,0,0,0,0,0,0.0,0.0
Lenny Vallier,fr FRA,Nacional,DF,26,2,0,31,0,0,0,0,0,0.1,0.0
Player,Nation,Squad,Pos,,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Alan Varela,ar ARG,Porto,MF,24,11,11,909,0,0,0,2,0,0.2,0.9
Gustavo Varela,pt POR,Gil Vicente FC,FW,20,10,0,174,1,1,0,1,0,1.6,0.6
Nilton Varela,pt POR,Estrela,DF,24,1,1,57,0,0,0,0,0,0.0,0.0
Gabriel Veiga,es ESP,Porto,MF,23,10,7,539,1,4,0,2,0,1.3,2.2
João Veloso,pt POR,Benfica,MF,20,2,0,2,0,0,0,0,0,0.0,0.0
Frederico Venâncio,pt POR,Santa Clara,DF,32,9,9,720,0,0,0,2,0,0.2,0.0
Pau Victor,es ESP,Braga,"FW,MF",23,10,7,561,1,0,0,0,0,1.3,0.1
Paulo Victor,br BRA,Santa Clara,"DF,MF",24,9,6,532,0,0,0,2,1,0.1,0.2
Sandro Vidigal,pt POR,Braga,"MF,DF",18,3,0,43,0,0,0,0,0,0.0,0.0
Gabriel Vieira,br BRA,Santa Clara,FW,23,8,6,482,1,0,1,1,0,2.7,1.0
Marcos Vinicios Sorriso,br BRA,Famalicão,FW,24,11,11,956,1,1,0,3,0,2.6,1.6
Vinícius,br BRA,Santa Clara,"FW,MF",26,11,8,667,4,0,0,3,0,2.1,0.5
João Virgínia,pt POR,Sporting CP,GK,26,2,2,180,0,0,0,0,0,0.0,0.0
Rémy Vita,km COM,Tondela,DF,24,4,2,227,0,0,0,2,0,0.1,0.0
Paulo Vitor,br BRA,Vitória,DF,24,1,0,5,0,0,0,0,0,0.0,0.0
Paulo Vitor,br BRA,AVS Futebol,DF,24,3,2,247,0,0,0,0,1,0.0,0.0
Zé Vitor,br BRA,Nacional,DF,24,9,9,782,1,0,0,4,1,1.0,0.0
Marious Vrousai,gr GRE,Rio Ave,"MF,DF",27,11,11,883,1,1,0,0,0,0.5,0.5
Watts,pt POR,Nacional,"MF,FW",20,6,0,57,0,0,0,1,0,0.0,0.0
Wendel,br BRA,Santa Clara,FW,25,7,6,476,1,2,1,1,0,1.7,0.9
Witi,mz MOZ,Nacional,"FW,MF",29,11,5,474,0,0,0,0,0,1.3,0.4
Yassir Zabiri,ma MAR,Famalicão,FW,20,5,1,133,0,0,0,2,0,0.3,0.4
Rodrigo Zalazar,uy URU,Braga,"MF,FW",26,10,8,710,4,1,4,5,0,4.5,1.1
